날짜,역명,Passengers,Weekend,Post,Year,Date
2021-02-04,삼각지,3268,0,0,2021,1990-02-04
2021-02-04,신용산,7218,0,0,2021,1990-02-04
2021-02-05,녹사평(용산구청),1207,0,0,2021,1990-02-05
2021-02-05,삼각지,3056,0,0,2021,1990-02-05
2021-02-05,신용산,6723,0,0,2021,1990-02-05
2021-02-08,녹사평(용산구청),1156,0,0,2021,1990-02-08
2021-02-08,삼각지,3071,0,0,2021,1990-02-08
2021-02-08,신용산,7266,0,0,2021,1990-02-08
2021-02-09,녹사평(용산구청),1152,0,0,2021,1990-02-09
2021-02-09,삼각지,3098,0,0,2021,1990-02-09
2021-02-09,신용산,6223,0,0,2021,1990-02-09
2021-02-10,녹사평(용산구청),1107,0,0,2021,1990-02-10
2021-02-10,삼각지,2823,0,0,2021,1990-02-10
2021-02-10,신용산,5473,0,0,2021,1990-02-10
2021-02-11,녹사평(용산구청),239,0,0,2021,1990-02-11
2021-02-11,삼각지,369,0,0,2021,1990-02-11
2021-02-11,신용산,977,0,0,2021,1990-02-11
2021-02-12,녹사평(용산구청),160,0,0,2021,1990-02-12
2021-02-12,삼각지,231,0,0,2021,1990-02-12
2021-02-12,신용산,535,0,0,2021,1990-02-12
2021-02-15,녹사평(용산구청),1091,0,0,2021,1990-02-15
2021-02-15,삼각지,3041,0,0,2021,1990-02-15
2021-02-15,신용산,7032,0,0,2021,1990-02-15
2021-02-16,녹사평(용산구청),1149,0,0,2021,1990-02-16
2021-02-16,삼각지,3319,0,0,2021,1990-02-16
2021-02-16,신용산,7364,0,0,2021,1990-02-16
2021-02-17,녹사평(용산구청),1164,0,0,2021,1990-02-17
2021-02-17,삼각지,3117,0,0,2021,1990-02-17
2021-02-17,신용산,7226,0,0,2021,1990-02-17
2021-02-18,녹사평(용산구청),1160,0,0,2021,1990-02-18
2021-02-18,삼각지,3126,0,0,2021,1990-02-18
2021-02-18,신용산,7268,0,0,2021,1990-02-18
2021-02-19,녹사평(용산구청),1177,0,0,2021,1990-02-19
2021-02-19,삼각지,3241,0,0,2021,1990-02-19
2021-02-19,신용산,6114,0,0,2021,1990-02-19
2021-02-22,녹사평(용산구청),1173,0,0,2021,1990-02-22
2021-02-22,삼각지,3000,0,0,2021,1990-02-22
2021-02-22,신용산,6784,0,0,2021,1990-02-22
2021-02-23,녹사평(용산구청),1185,0,0,2021,1990-02-23
2021-02-23,삼각지,3182,0,0,2021,1990-02-23
2021-02-23,신용산,6718,0,0,2021,1990-02-23
2021-02-24,녹사평(용산구청),1208,0,0,2021,1990-02-24
2021-02-24,삼각지,3080,0,0,2021,1990-02-24
2021-02-24,신용산,6657,0,0,2021,1990-02-24
2021-02-25,녹사평(용산구청),1176,0,0,2021,1990-02-25
2021-02-25,삼각지,3097,0,0,2021,1990-02-25
2021-02-25,신용산,6799,0,0,2021,1990-02-25
2021-02-26,녹사평(용산구청),1209,0,0,2021,1990-02-26
2021-02-26,삼각지,3094,0,0,2021,1990-02-26
2021-02-26,신용산,6672,0,0,2021,1990-02-26
2021-03-01,녹사평(용산구청),308,0,0,2021,1990-03-01
2021-03-01,삼각지,514,0,0,2021,1990-03-01
2021-03-01,신용산,1099,0,0,2021,1990-03-01
2021-03-02,녹사평(용산구청),1194,0,0,2021,1990-03-02
2021-03-02,삼각지,3074,0,0,2021,1990-03-02
2021-03-02,신용산,7580,0,0,2021,1990-03-02
2021-03-03,녹사평(용산구청),1260,0,0,2021,1990-03-03
2021-03-03,삼각지,3235,0,0,2021,1990-03-03
2021-03-03,신용산,7447,0,0,2021,1990-03-03
2021-03-04,녹사평(용산구청),1253,0,0,2021,1990-03-04
2021-03-04,삼각지,3268,0,0,2021,1990-03-04
2021-03-04,신용산,7514,0,0,2021,1990-03-04
2021-03-05,녹사평(용산구청),1238,0,0,2021,1990-03-05
